"*Beginning for the 2015-16 season, reports from public health and clinical laboratories are presented separately in the weekly influenza update, FluView. Data from clinical laboratories include the weekly total number of specimens tested, the number of positive influenza test, and the percent positive by influenza type."
REGION TYPE,REGION,YEAR,WEEK,TOTAL SPECIMENS,TOTAL A,TOTAL B,PERCENT POSITIVE,PERCENT A,PERCENT B
States,Ohio,2015,41,620,1,1,0.32,0.16,0.16
States,Oklahoma,2015,41,159,0,0,0,0,0
States,Oregon,2015,41,117,1,0,0.85,0.85,0
States,Pennsylvania,2015,41,463,1,1,0.43,0.22,0.22
States,Rhode Island,2015,41,X,X,X,X,X,X
States,South Carolina,2015,41,183,0,0,0,0,0
States,South Dakota,2015,41,109,0,0,0,0,0
States,Tennessee,2015,41,120,1,2,2.5,0.83,1.67
States,Texas,2015,41,1150,7,15,1.91,0.61,1.3
States,Utah,2015,41,362,0,0,0,0,0
States,Vermont,2015,41,110,0,0,0,0,0
States,Virginia,2015,41,174,1,0,0.57,0.57,0
States,Washington,2015,41,239,4,0,1.67,1.67,0
States,West Virginia,2015,41,373,0,3,0.8,0,0.8
States,Wisconsin,2015,41,593,0,2,0.34,0,0.34
States,Wyoming,2015,41,15,1,0,6.67,6.67,0
States,Puerto Rico,2015,41,0,0,0,0,0,0
States,Virgin Islands,2015,41,X,X,X,X,X,X
States,New York City,2015,41,X,X,X,X,X,X
States,Alabama,2015,42,193,4,1,2.59,2.07,0.52
States,Alaska,2015,42,X,X,X,X,X,X
States,Arizona,2015,42,74,0,0,0,0,0
States,Arkansas,2015,42,40,0,0,0,0,0
States,California,2015,42,609,2,0,0.33,0.33,0
States,Colorado,2015,42,281,1,1,0.71,0.36,0.36
States,Connecticut,2015,42,313,4,2,1.92,1.28,0.64
States,Delaware,2015,42,46,1,0,2.17,2.17,0
States,District of Columbia,2015,42,X,X,X,X,X,X
States,Florida,2015,42,X,X,X,X,X,X
States,Georgia,2015,42,503,2,3,0.99,0.4,0.6
States,Hawaii,2015,42,252,4,0,1.59,1.59,0
States,Idaho,2015,42,22,0,0,0,0,0
States,Illinois,2015,42,275,3,3,2.18,1.09,1.09
States,Indiana,2015,42,76,0,0,0,0,0
States,Iowa,2015,42,93,3,0,3.23,3.23,0
States,Kansas,2015,42,69,2,0,2.9,2.9,0
States,Kentucky,2015,42,234,1,0,0.43,0.43,0
States,Louisiana,2015,42,X,X,X,X,X,X
States,Maine,2015,42,X,X,X,X,X,X
States,Maryland,2015,42,62,0,0,0,0,0
States,Massachusetts,2015,42,244,0,1,0.41,0,0.41
States,Michigan,2015,42,541,0,0,0,0,0
States,Minnesota,2015,42,262,1,1,0.76,0.38,0.38
States,Mississippi,2015,42,148,1,0,0.68,0.68,0
States,Missouri,2015,42,159,1,0,0.63,0.63,0
States,Montana,2015,42,68,0,0,0,0,0
States,Nebraska,2015,42,60,0,0,0,0,0
States,Nevada,2015,42,X,X,X,X,X,X
States,New Hampshire,2015,42,10,0,0,0,0,0
States,New Jersey,2015,42,X,X,X,X,X,X
States,New Mexico,2015,42,235,0,0,0,0,0
States,New York,2015,42,1262,1,2,0.24,0.08,0.16
States,North Carolina,2015,42,158,1,0,0.63,0.63,0
States,North Dakota,2015,42,12,0,0,0,0,0
States,Ohio,2015,42,682,0,4,0.59,0,0.59
States,Oklahoma,2015,42,171,1,1,1.17,0.58,0.58
States,Oregon,2015,42,142,0,0,0,0,0
States,Pennsylvania,2015,42,441,3,1,0.91,0.68,0.23
States,Rhode Island,2015,42,X,X,X,X,X,X
States,South Carolina,2015,42,219,3,0,1.37,1.37,0
States,South Dakota,2015,42,139,0,0,0,0,0
States,Tennessee,2015,42,171,2,1,1.75,1.17,0.58
States,Texas,2015,42,1084,4,14,1.66,0.37,1.29
States,Utah,2015,42,362,1,1,0.55,0.28,0.28
States,Vermont,2015,42,118,0,0,0,0,0
States,Virginia,2015,42,55,0,0,0,0,0
States,Washington,2015,42,223,1,0,0.45,0.45,0
States,West Virginia,2015,42,409,1,8,2.2,0.24,1.96
States,Wisconsin,2015,42,648,1,0,0.15,0.15,0
States,Wyoming,2015,42,14,0,0,0,0,0
States,Puerto Rico,2015,42,0,0,0,0,0,0
States,Virgin Islands,2015,42,X,X,X,X,X,X
States,New York City,2015,42,X,X,X,X,X,X
States,Alabama,2015,43,164,3,4,4.27,1.83,2.44
States,Alaska,2015,43,X,X,X,X,X,X
States,Arizona,2015,43,64,0,0,0,0,0
States,Arkansas,2015,43,33,0,0,0,0,0
States,California,2015,43,677,0,0,0,0,0
States,Colorado,2015,43,332,0,1,0.3,0,0.3
States,Connecticut,2015,43,335,0,0,0,0,0
States,Delaware,2015,43,31,0,0,0,0,0
States,District of Columbia,2015,43,X,X,X,X,X,X
States,Florida,2015,43,X,X,X,X,X,X
States,Georgia,2015,43,511,3,5,1.57,0.59,0.98
States,Hawaii,2015,43,228,3,1,1.75,1.32,0.44
States,Idaho,2015,43,18,0,0,0,0,0
States,Illinois,2015,43,366,8,5,3.55,2.19,1.37
States,Indiana,2015,43,84,0,0,0,0,0
States,Iowa,2015,43,105,3,0,2.86,2.86,0
States,Kansas,2015,43,97,1,2,3.09,1.03,2.06
States,Kentucky,2015,43,229,0,0,0,0,0
States,Louisiana,2015,43,X,X,X,X,X,X
States,Maine,2015,43,X,X,X,X,X,X
States,Maryland,2015,43,X,X,X,X,X,X
States,Massachusetts,2015,43,231,0,1,0.43,0,0.43
States,Michigan,2015,43,541,0,0,0,0,0
States,Minnesota,2015,43,242,1,0,0.41,0.41,0
States,Mississippi,2015,43,177,2,0,1.13,1.13,0
States,Missouri,2015,43,150,0,0,0,0,0
States,Montana,2015,43,61,0,0,0,0,0
States,Nebraska,2015,43,54,0,1,1.85,0,1.85
States,Nevada,2015,43,X,X,X,X,X,X
States,New Hampshire,2015,43,23,0,0,0,0,0
States,New Jersey,2015,43,X,X,X,X,X,X
States,New Mexico,2015,43,208,1,0,0.48,0.48,0
States,New York,2015,43,1284,6,3,0.7,0.47,0.23
States,North Carolina,2015,43,147,1,0,0.68,0.68,0
States,North Dakota,2015,43,19,0,0,0,0,0
States,Ohio,2015,43,781,3,1,0.51,0.38,0.13
States,Oklahoma,2015,43,147,1,0,0.68,0.68,0
States,Oregon,2015,43,164,0,1,0.61,0,0.61
States,Pennsylvania,2015,43,412,1,2,0.73,0.24,0.49
States,Rhode Island,2015,43,X,X,X,X,X,X
States,South Carolina,2015,43,241,1,1,0.83,0.41,0.41
States,South Dakota,2015,43,130,0,0,0,0,0
States,Tennessee,2015,43,155,0,1,0.65,0,0.65
States,Texas,2015,43,1093,16,4,1.83,1.46,0.37
States,Utah,2015,43,386,1,0,0.26,0.26,0
States,Vermont,2015,43,98,0,0,0,0,0
States,Virginia,2015,43,165,0,0,0,0,0
States,Washington,2015,43,277,1,0,0.36,0.36,0
States,West Virginia,2015,43,418,0,1,0.24,0,0.24
States,Wisconsin,2015,43,580,1,0,0.17,0.17,0
States,Wyoming,2015,43,15,0,0,0,0,0
States,Puerto Rico,2015,43,0,0,0,0,0,0
States,Virgin Islands,2015,43,X,X,X,X,X,X
States,New York City,2015,43,X,X,X,X,X,X
States,Alabama,2015,44,254,2,3,1.97,0.79,1.18
States,Alaska,2015,44,X,X,X,X,X,X
States,Arizona,2015,44,96,1,0,1.04,1.04,0
States,Arkansas,2015,44,47,2,0,4.26,4.26,0
States,California,2015,44,811,9,0,1.11,1.11,0
States,Colorado,2015,44,384,0,0,0,0,0
States,Connecticut,2015,44,346,0,0,0,0,0
States,Delaware,2015,44,48,0,0,0,0,0
States,District of Columbia,2015,44,X,X,X,X,X,X
States,Florida,2015,44,X,X,X,X,X,X
States,Georgia,2015,44,657,3,5,1.22,0.46,0.76
States,Hawaii,2015,44,190,1,3,2.11,0.53,1.58
States,Idaho,2015,44,17,0,1,5.88,0,5.88
States,Illinois,2015,44,380,5,3,2.11,1.32,0.79
States,Indiana,2015,44,103,0,0,0,0,0
States,Iowa,2015,44,91,1,0,1.1,1.1,0
States,Kansas,2015,44,115,1,3,3.48,0.87,2.61
States,Kentucky,2015,44,265,0,0,0,0,0
States,Louisiana,2015,44,X,X,X,X,X,X
States,Maine,2015,44,X,X,X,X,X,X
States,Maryland,2015,44,X,X,X,X,X,X
States,Massachusetts,2015,44,273,0,0,0,0,0
States,Michigan,2015,44,558,3,0,0.54,0.54,0
States,Minnesota,2015,44,314,0,1,0.32,0,0.32
States,Mississippi,2015,44,165,1,0,0.61,0.61,0
States,Missouri,2015,44,188,0,0,0,0,0
States,Montana,2015,44,85,1,0,1.18,1.18,0
States,Nebraska,2015,44,79,0,1,1.27,0,1.27
States,Nevada,2015,44,10,0,0,0,0,0
States,New Hampshire,2015,44,14,0,0,0,0,0
States,New Jersey,2015,44,X,X,X,X,X,X
States,New Mexico,2015,44,229,2,0,0.87,0.87,0
States,New York,2015,44,1236,4,2,0.49,0.32,0.16
States,North Carolina,2015,44,152,0,0,0,0,0
States,North Dakota,2015,44,X,X,X,X,X,X
States,Ohio,2015,44,744,5,6,1.48,0.67,0.81
States,Oklahoma,2015,44,174,0,0,0,0,0
States,Oregon,2015,44,159,0,0,0,0,0
States,Pennsylvania,2015,44,490,2,1,0.61,0.41,0.2
States,Rhode Island,2015,44,X,X,X,X,X,X
States,South Carolina,2015,44,288,0,1,0.35,0,0.35
States,South Dakota,2015,44,108,0,0,0,0,0
States,Tennessee,2015,44,230,0,8,3.48,0,3.48
States,Texas,2015,44,1217,11,6,1.4,0.9,0.49
States,Utah,2015,44,417,0,1,0.24,0,0.24
States,Vermont,2015,44,118,0,1,0.85,0,0.85
States,Virginia,2015,44,137,0,0,0,0,0
States,Washington,2015,44,293,1,0,0.34,0.34,0
States,West Virginia,2015,44,488,0,5,1.02,0,1.02
States,Wisconsin,2015,44,546,0,0,0,0,0
States,Wyoming,2015,44,28,0,0,0,0,0
States,Puerto Rico,2015,44,0,0,0,0,0,0
States,Virgin Islands,2015,44,X,X,X,X,X,X
States,New York City,2015,44,X,X,X,X,X,X
States,Alabama,2015,45,250,3,3,2.4,1.2,1.2
States,Alaska,2015,45,X,X,X,X,X,X
States,Arizona,2015,45,89,0,0,0,0,0
States,Arkansas,2015,45,33,0,0,0,0,0
States,California,2015,45,873,6,3,1.03,0.69,0.34
States,Colorado,2015,45,391,1,0,0.26,0.26,0
States,Connecticut,2015,45,298,1,0,0.34,0.34,0
States,Delaware,2015,45,63,0,0,0,0,0
States,District of Columbia,2015,45,X,X,X,X,X,X
States,Florida,2015,45,X,X,X,X,X,X
States,Georgia,2015,45,652,7,18,3.83,1.07,2.76
States,Hawaii,2015,45,188,1,2,1.6,0.53,1.06
States,Idaho,2015,45,32,0,0,0,0,0
States,Illinois,2015,45,375,17,1,4.8,4.53,0.27
States,Indiana,2015,45,102,0,0,0,0,0
States,Iowa,2015,45,58,0,0,0,0,0
States,Kansas,2015,45,104,1,0,0.96,0.96,0
States,Kentucky,2015,45,217,0,0,0,0,0
States,Louisiana,2015,45,X,X,X,X,X,X
States,Maine,2015,45,X,X,X,X,X,X
States,Maryland,2015,45,15,0,0,0,0,0
States,Massachusetts,2015,45,218,1,1,0.92,0.46,0.46
States,Michigan,2015,45,553,2,1,0.54,0.36,0.18
States,Minnesota,2015,45,257,0,0,0,0,0
States,Mississippi,2015,45,176,5,1,3.41,2.84,0.57
States,Missouri,2015,45,157,0,0,0,0,0
States,Montana,2015,45,68,0,0,0,0,0
States,Nebraska,2015,45,71,0,0,0,0,0
States,Nevada,2015,45,11,1,0,9.09,9.09,0
States,New Hampshire,2015,45,25,0,0,0,0,0
States,New Jersey,2015,45,X,X,X,X,X,X
States,New Mexico,2015,45,250,0,0,0,0,0
States,New York,2015,45,1322,2,2,0.3,0.15,0.15
States,North Carolina,2015,45,175,0,0,0,0,0
States,North Dakota,2015,45,15,0,0,0,0,0
States,Ohio,2015,45,715,4,1,0.7,0.56,0.14
States,Oklahoma,2015,45,190,0,0,0,0,0
States,Oregon,2015,45,160,0,0,0,0,0
States,Pennsylvania,2015,45,463,2,0,0.43,0.43,0
States,Rhode Island,2015,45,X,X,X,X,X,X
States,South Carolina,2015,45,255,1,0,0.39,0.39,0
States,South Dakota,2015,45,132,0,0,0,0,0
States,Tennessee,2015,45,198,0,6,3.03,0,3.03
States,Texas,2015,45,1343,16,15,2.31,1.19,1.12
States,Utah,2015,45,476,0,0,0,0,0
States,Vermont,2015,45,107,0,0,0,0,0
States,Virginia,2015,45,220,1,0,0.45,0.45,0
States,Washington,2015,45,264,0,1,0.38,0,0.38
States,West Virginia,2015,45,442,0,0,0,0,0
States,Wisconsin,2015,45,621,0,0,0,0,0
States,Wyoming,2015,45,20,1,0,5,5,0
States,Puerto Rico,2015,45,0,0,0,0,0,0
States,Virgin Islands,2015,45,X,X,X,X,X,X
States,New York City,2015,45,X,X,X,X,X,X
States,Alabama,2015,46,279,4,1,1.79,1.43,0.36
States,Alaska,2015,46,X,X,X,X,X,X
States,Arizona,2015,46,104,0,0,0,0,0
States,Arkansas,2015,46,44,0,0,0,0,0
States,California,2015,46,943,4,2,0.64,0.42,0.21
States,Colorado,2015,46,385,0,0,0,0,0
States,Connecticut,2015,46,359,1,1,0.56,0.28,0.28
States,Delaware,2015,46,62,0,0,0,0,0
States,District of Columbia,2015,46,X,X,X,X,X,X
States,Florida,2015,46,X,X,X,X,X,X
States,Georgia,2015,46,836,5,21,3.11,0.6,2.51
States,Hawaii,2015,46,146,0,0,0,0,0
States,Idaho,2015,46,19,0,0,0,0,0
States,Illinois,2015,46,364,7,4,3.02,1.92,1.1
States,Indiana,2015,46,120,0,0,0,0,0
States,Iowa,2015,46,67,0,0,0,0,0
States,Kansas,2015,46,93,2,3,5.38,2.15,3.23
States,Kentucky,2015,46,261,0,2,0.77,0,0.77
States,Louisiana,2015,46,X,X,X,X,X,X
States,Maine,2015,46,X,X,X,X,X,X
States,Maryland,2015,46,X,X,X,X,X,X
States,Massachusetts,2015,46,263,0,0,0,0,0
States,Michigan,2015,46,582,4,1,0.86,0.69,0.17
States,Minnesota,2015,46,276,0,0,0,0,0
States,Mississippi,2015,46,209,1,0,0.48,0.48,0
States,Missouri,2015,46,174,0,1,0.57,0,0.57
States,Montana,2015,46,61,0,0,0,0,0
States,Nebraska,2015,46,49,0,0,0,0,0
States,Nevada,2015,46,X,X,X,X,X,X
States,New Hampshire,2015,46,18,0,0,0,0,0
States,New Jersey,2015,46,X,X,X,X,X,X
States,New Mexico,2015,46,265,0,0,0,0,0
States,New York,2015,46,1330,1,2,0.23,0.08,0.15
States,North Carolina,2015,46,175,3,1,2.29,1.71,0.57
States,North Dakota,2015,46,14,0,0,0,0,0
States,Ohio,2015,46,819,3,3,0.73,0.37,0.37
States,Oklahoma,2015,46,217,0,0,0,0,0
States,Oregon,2015,46,226,0,0,0,0,0
States,Pennsylvania,2015,46,506,1,3,0.79,0.2,0.59
States,Rhode Island,2015,46,X,X,X,X,X,X
States,South Carolina,2015,46,321,1,4,1.56,0.31,1.25
States,South Dakota,2015,46,106,0,0,0,0,0
States,Tennessee,2015,46,256,0,3,1.17,0,1.17
States,Texas,2015,46,1140,16,17,2.89,1.4,1.49
States,Utah,2015,46,456,0,0,0,0,0
States,Vermont,2015,46,106,0,0,0,0,0
States,Virginia,2015,46,205,0,0,0,0,0
States,Washington,2015,46,299,0,1,0.33,0,0.33
States,West Virginia,2015,46,457,1,3,0.88,0.22,0.66
States,Wisconsin,2015,46,574,1,0,0.17,0.17,0
States,Wyoming,2015,46,16,0,0,0,0,0
States,Puerto Rico,2015,46,0,0,0,0,0,0
States,Virgin Islands,2015,46,X,X,X,X,X,X
States,New York City,2015,46,X,X,X,X,X,X
States,Alabama,2015,47,271,0,3,1.11,0,1.11
States,Alaska,2015,47,X,X,X,X,X,X
States,Arizona,2015,47,97,1,0,1.03,1.03,0
States,Arkansas,2015,47,40,1,0,2.5,2.5,0
States,California,2015,47,858,4,1,0.58,0.47,0.12
States,Colorado,2015,47,418,2,0,0.48,0.48,0
States,Connecticut,2015,47,353,0,0,0,0,0
States,Delaware,2015,47,64,0,1,1.56,0,1.56
States,District of Columbia,2015,47,X,X,X,X,X,X
States,Florida,2015,47,X,X,X,X,X,X
States,Georgia,2015,47,738,2,2,0.54,0.27,0.27
States,Hawaii,2015,47,102,0,0,0,0,0
States,Idaho,2015,47,26,1,0,3.85,3.85,0
States,Illinois,2015,47,300,4,2,2,1.33,0.67
States,Indiana,2015,47,126,0,0,0,0,0
States,Iowa,2015,47,62,0,0,0,0,0
States,Kansas,2015,47,95,0,1,1.05,0,1.05
States,Kentucky,2015,47,275,0,1,0.36,0,0.36
States,Louisiana,2015,47,X,X,X,X,X,X
States,Maine,2015,47,X,X,X,X,X,X
States,Maryland,2015,47,X,X,X,X,X,X
States,Massachusetts,2015,47,287,2,0,0.7,0.7,0
States,Michigan,2015,47,559,3,0,0.54,0.54,0
States,Minnesota,2015,47,266,1,0,0.38,0.38,0
States,Mississippi,2015,47,191,2,0,1.05,1.05,0
States,Missouri,2015,47,134,0,0,0,0,0
States,Montana,2015,47,67,0,0,0,0,0
States,Nebraska,2015,47,49,0,0,0,0,0
States,Nevada,2015,47,X,X,X,X,X,X
States,New Hampshire,2015,47,15,0,0,0,0,0
States,New Jersey,2015,47,X,X,X,X,X,X
States,New Mexico,2015,47,288,0,0,0,0,0
States,New York,2015,47,1213,4,4,0.66,0.33,0.33
States,North Carolina,2015,47,219,1,4,2.28,0.46,1.83
States,North Dakota,2015,47,X,X,X,X,X,X
States,Ohio,2015,47,705,0,1,0.14,0,0.14
States,Oklahoma,2015,47,170,0,0,0,0,0
States,Oregon,2015,47,205,0,0,0,0,0
States,Pennsylvania,2015,47,451,0,1,0.22,0,0.22
States,Rhode Island,2015,47,X,X,X,X,X,X
States,South Carolina,2015,47,300,2,0,0.67,0.67,0
States,South Dakota,2015,47,116,0,0,0,0,0
States,Tennessee,2015,47,217,0,7,3.23,0,3.23
States,Texas,2015,47,1494,8,11,1.27,0.54,0.74
States,Utah,2015,47,485,0,1,0.21,0,0.21
States,Vermont,2015,47,104,0,1,0.96,0,0.96
States,Virginia,2015,47,136,0,0,0,0,0
States,Washington,2015,47,294,0,1,0.34,0,0.34
States,West Virginia,2015,47,382,1,1,0.52,0.26,0.26
States,Wisconsin,2015,47,573,2,2,0.7,0.35,0.35
States,Wyoming,2015,47,14,0,0,0,0,0
States,Puerto Rico,2015,47,0,0,0,0,0,0
States,Virgin Islands,2015,47,X,X,X,X,X,X
States,New York City,2015,47,X,X,X,X,X,X
States,Alabama,2015,48,321,5,4,2.8,1.56,1.25
States,Alaska,2015,48,14,0,0,0,0,0
States,Arizona,2015,48,88,1,0,1.14,1.14,0
States,Arkansas,2015,48,54,0,0,0,0,0
States,California,2015,48,1015,9,7,1.58,0.89,0.69
States,Colorado,2015,48,451,2,0,0.44,0.44,0
States,Connecticut,2015,48,349,1,0,0.29,0.29,0
States,Delaware,2015,48,61,0,0,0,0,0
States,District of Columbia,2015,48,X,X,X,X,X,X
States,Florida,2015,48,X,X,X,X,X,X
States,Georgia,2015,48,452,2,3,1.11,0.44,0.66
States,Hawaii,2015,48,158,1,0,0.63,0.63,0
States,Idaho,2015,48,43,5,2,16.28,11.63,4.65
States,Illinois,2015,48,365,3,2,1.37,0.82,0.55
States,Indiana,2015,48,112,2,0,1.79,1.79,0
States,Iowa,2015,48,93,0,0,0,0,0
States,Kansas,2015,48,105,3,0,2.86,2.86,0
States,Kentucky,2015,48,283,0,1,0.35,0,0.35
States,Louisiana,2015,48,X,X,X,X,X,X
States,Maine,2015,48,X,X,X,X,X,X
States,Maryland,2015,48,21,0,0,0,0,0
States,Massachusetts,2015,48,286,1,1,0.7,0.35,0.35
States,Michigan,2015,48,610,7,0,1.15,1.15,0
States,Minnesota,2015,48,309,0,0,0,0,0
States,Mississippi,2015,48,182,4,1,2.75,2.2,0.55
States,Missouri,2015,48,147,0,0,0,0,0
States,Montana,2015,48,69,0,0,0,0,0
States,Nebraska,2015,48,63,0,0,0,0,0
States,Nevada,2015,48,18,1,0,5.56,5.56,0
States,New Hampshire,2015,48,18,0,0,0,0,0
States,New Jersey,2015,48,X,X,X,X,X,X
States,New Mexico,2015,48,264,0,1,0.38,0,0.38
States,New York,2015,48,1457,6,2,0.55,0.41,0.14
States,North Carolina,2015,48,224,2,2,1.79,0.89,0.89
States,North Dakota,2015,48,X,X,X,X,X,X
States,Ohio,2015,48,766,1,2,0.39,0.13,0.26
States,Oklahoma,2015,48,213,0,0,0,0,0
States,Oregon,2015,48,222,1,0,0.45,0.45,0
States,Pennsylvania,2015,48,488,4,2,1.23,0.82,0.41
States,Rhode Island,2015,48,X,X,X,X,X,X
States,South Carolina,2015,48,307,0,3,0.98,0,0.98
States,South Dakota,2015,48,130,1,1,1.54,0.77,0.77
States,Tennessee,2015,48,256,4,8,4.69,1.56,3.13
States,Texas,2015,48,1480,10,10,1.35,0.68,0.68
States,Utah,2015,48,564,1,0,0.18,0.18,0
States,Vermont,2015,48,104,0,0,0,0,0
States,Virginia,2015,48,215,0,0,0,0,0
States,Washington,2015,48,346,5,2,2.02,1.45,0.58
States,West Virginia,2015,48,419,0,0,0,0,0
States,Wisconsin,2015,48,721,2,0,0.28,0.28,0
States,Wyoming,2015,48,33,0,0,0,0,0
States,Puerto Rico,2015,48,0,0,0,0,0,0
States,Virgin Islands,2015,48,X,X,X,X,X,X
States,New York City,2015,48,X,X,X,X,X,X
States,Alabama,2015,49,277,3,1,1.44,1.08,0.36
States,Alaska,2015,49,13,0,0,0,0,0
States,Arizona,2015,49,72,2,0,2.78,2.78,0
States,Arkansas,2015,49,48,0,0,0,0,0
States,California,2015,49,985,6,3,0.91,0.61,0.3
States,Colorado,2015,49,455,2,3,1.1,0.44,0.66
States,Connecticut,2015,49,343,1,1,0.58,0.29,0.29
States,Delaware,2015,49,87,0,0,0,0,0
States,District of Columbia,2015,49,X,X,X,X,X,X
States,Florida,2015,49,X,X,X,X,X,X
States,Georgia,2015,49,683,2,5,1.02,0.29,0.73
States,Hawaii,2015,49,134,0,0,0,0,0
States,Idaho,2015,49,37,2,1,8.11,5.41,2.7
States,Illinois,2015,49,359,3,0,0.84,0.84,0
States,Indiana,2015,49,158,0,0,0,0,0
States,Iowa,2015,49,84,0,0,0,0,0
States,Kansas,2015,49,137,4,1,3.65,2.92,0.73
States,Kentucky,2015,49,272,0,2,0.74,0,0.74
States,Louisiana,2015,49,X,X,X,X,X,X
States,Maine,2015,49,X,X,X,X,X,X
States,Maryland,2015,49,21,0,0,0,0,0
States,Massachusetts,2015,49,303,0,3,0.99,0,0.99
States,Michigan,2015,49,599,9,1,1.67,1.5,0.17
